City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ponta do sol,40,PT,1513207800,77,32.67,-17.1,64.4,10.29
1,matagami,75,CA,1513208460,84,49.75,-77.63,-2.21,20.8
2,quesnel,1,CA,1513206000,96,53.0,-122.5,35.6,2.24
3,brae,92,GB,1513207200,86,60.4,-1.35,42.8,11.41
4,conceicao das alagoas,20,BR,1513206000,61,-19.91,-48.39,77.0,10.29
5,puerto ayora,20,EC,1513206000,64,-0.74,-90.35,75.2,13.87
6,tasiilaq,8,GL,1513209000,68,65.61,-37.64,26.6,6.93
7,hilo,75,US,1513205760,73,19.73,-155.09,73.4,14.99
8,rikitea,48,PF,1513209654,100,-23.12,-134.97,76.39,13.91
9,santa fe,1,US,1513209300,20,35.69,-105.94,46.4,9.17
10,hermanus,92,ZA,1513209654,98,-34.42,19.23,57.62,2.24
11,ribeira grande,92,PT,1513209655,100,38.52,-28.7,64.69,12.68
12,saint george,1,US,1513205760,14,37.1,-113.58,57.2,1.61
13,ostrovnoy,20,RU,1513209656,86,68.05,39.51,22.61,22.08
14,huicheng,75,CN,1513206000,82,23.04,116.29,60.8,4.47
15,port elizabeth,75,ZA,1513206000,82,-33.92,25.57,62.6,19.46
16,los llanos de aridane,75,ES,1513207800,59,28.66,-17.92,66.2,18.34
17,saint-philippe,0,RE,1513207800,73,-21.36,55.77,78.8,5.82
18,jamestown,90,US,1513209360,85,42.1,-79.24,17.6,6.93
19,lashio,0,MM,1513209658,97,22.93,97.75,49.84,1.9
20,omsukchan,24,RU,1513209659,57,62.53,155.8,-21.49,12.46
21,new norfolk,75,AU,1513206000,47,-42.78,147.06,75.2,14.99
22,hofn,56,IS,1513209660,100,64.25,-15.21,37.51,30.31
23,sola,64,VU,1513209661,99,-13.88,167.55,82.37,3.85
24,atuona,24,PF,1513209661,100,-9.8,-139.03,80.21,12.35
25,energeticheskiy,90,KZ,1513207800,92,43.43,77.02,21.2,6.71
26,rio cuarto,20,AR,1513206000,68,-33.13,-64.35,71.6,8.05
27,albany,90,US,1513208700,62,42.65,-73.76,21.2,10.29
28,punta arenas,75,CL,1513206000,62,-53.15,-70.92,51.8,19.46
29,lima,12,PE,1513209554,70,-12.04,-77.03,62.84,2.28
30,porto belo,75,BR,1513206000,73,-27.16,-48.55,75.2,14.99
31,columbia,1,US,1513208100,41,34.0,-81.03,44.6,5.82
32,tiksi,8,RU,1513209664,0,71.69,128.87,-47.59,2.39
33,vaini,40,TO,1513206000,65,-21.2,-175.2,80.6,2.24
34,upernavik,80,GL,1513209665,100,72.79,-56.15,23.02,4.85
35,ushuaia,75,AR,1513204260,44,-54.8,-68.3,59.0,12.75
36,butaritari,0,KI,1513209666,100,3.07,172.79,83.32,14.09
37,tuktoyaktuk,20,CA,1513206000,84,69.45,-133.04,-2.21,12.75
38,muros,90,ES,1513207800,93,42.78,-9.06,55.4,8.05
39,georgetown,40,GY,1513206000,88,6.8,-58.16,78.8,6.93
40,noumea,90,NC,1513207800,66,-22.28,166.46,84.2,12.75
41,pisco,40,PE,1513206000,77,-13.7,-76.22,69.8,21.92
42,hobart,75,AU,1513206000,47,-42.88,147.33,75.2,14.99
43,paine,0,CL,1513206000,44,-33.82,-70.75,75.2,14.99
44,kavaratti,56,IN,1513209668,100,10.57,72.64,78.82,7.09
45,axim,24,GH,1513209669,100,4.87,-2.24,81.65,8.55
46,chuy,24,UY,1513209669,77,-33.7,-53.46,73.46,13.98
47,fairbanks,40,US,1513205880,51,64.84,-147.72,41.0,4.7
48,carnarvon,0,AU,1513209670,85,-24.87,113.63,76.52,21.14
49,busselton,20,AU,1513209670,100,-33.65,115.33,65.36,5.82
50,san javier,0,ES,1513207800,46,37.81,-0.84,50.0,9.17
51,maxixe,68,MZ,1513209672,96,-23.86,35.35,77.78,13.58
52,caconda,92,AO,1513209673,99,-13.73,15.07,60.5,5.37
53,siyabuswa,0,ZA,1513209674,78,-25.11,29.04,60.82,2.13
54,cape town,75,ZA,1513206000,93,-33.93,18.42,60.8,1.12
55,chokurdakh,56,RU,1513209675,67,70.63,147.92,-14.34,4.25
56,tekeli,0,KZ,1513209675,50,44.83,78.82,-5.52,2.01
57,thompson,75,CA,1513207800,77,55.74,-97.86,3.2,3.36
58,tateyama,20,JP,1513207800,32,34.98,139.87,46.4,17.22
59,cherskiy,80,RU,1513209677,82,68.75,161.3,3.67,8.84
60,darnah,0,LY,1513209678,100,32.77,22.64,65.86,13.69
61,qaanaaq,80,GL,1513209680,91,77.48,-69.36,13.39,7.09
62,tamale,0,GH,1513209681,38,9.4,-0.84,80.93,7.87
63,nishihara,75,JP,1513209360,59,26.18,127.76,62.6,9.17
64,dikson,92,RU,1513209682,100,73.51,80.55,-7.63,22.15
65,bilibino,80,RU,1513209684,77,68.05,166.44,-13.12,3.4
66,eureka,1,US,1513208100,76,40.8,-124.16,57.2,4.7
67,esperance,56,AU,1513209685,83,-33.87,121.9,64.96,4.63
68,bluff,0,NZ,1513209686,100,-46.6,168.33,57.35,5.14
69,yellowknife,90,CA,1513206000,85,62.46,-114.35,15.8,6.93
70,mar del plata,75,AR,1513206000,82,-38.0,-57.56,66.2,3.36
71,kyra,32,RU,1513209688,67,49.58,111.98,-11.82,5.82
72,clyde river,75,CA,1513206720,77,70.47,-68.59,1.4,5.82
73,bambanglipuro,76,ID,1513209692,96,-7.95,110.28,73.46,3.8
74,provideniya,75,RU,1513207800,79,64.38,-173.3,24.8,22.37
75,qasigiannguit,64,GL,1513209000,85,68.82,-51.19,19.4,11.41
76,neyshabur,64,IR,1513209694,95,36.21,58.8,25.67,3.02
77,iquitos,20,PE,1513206000,66,-3.75,-73.25,86.0,2.24
78,hongjiang,100,CN,1513209695,100,27.11,110.0,37.24,4.59
79,tanout,12,NE,1513209696,44,14.97,8.89,70.4,12.64
80,avarua,75,CK,1513206000,78,-21.21,-159.78,82.4,8.05
81,anloga,36,GH,1513206000,94,5.79,0.9,80.6,6.93
82,constantine,20,DZ,1513207800,93,36.37,6.61,39.2,2.24
83,castro,0,BR,1513209700,88,-24.79,-50.01,65.41,6.38
84,bredasdorp,88,ZA,1513206000,82,-34.53,20.04,62.6,4.7
85,afua,88,BR,1513209701,92,-0.16,-50.39,82.51,11.45
86,broome,64,AU,1513206000,66,-17.97,122.23,87.8,14.99
87,lokachi,56,UA,1513209703,95,50.74,24.65,30.98,6.93
88,guerrero negro,0,MX,1513209703,42,27.98,-114.06,70.81,7.87
89,yar-sale,64,RU,1513209704,88,66.83,70.83,6.68,19.84
90,kaeo,12,NZ,1513209704,59,-35.1,173.78,73.82,14.36
91,aswan,0,EG,1513206000,55,24.09,32.91,62.6,6.93
92,sao domingos,76,BR,1513209705,69,-13.4,-46.32,75.49,6.6
93,saskylakh,64,RU,1513209706,52,71.92,114.08,-30.9,3.4
94,bethel,1,US,1513209360,45,41.37,-73.41,28.4,11.41
95,half moon bay,1,US,1513208100,47,37.46,-122.43,64.4,12.75
96,zarubino,0,RU,1513209711,100,42.63,131.09,11.72,11.3
97,dharchula,80,IN,1513209711,64,29.85,80.53,29.63,1.61
98,port hedland,0,AU,1513206000,79,-20.32,118.57,84.2,13.87
99,arlit,80,NE,1513209712,33,18.74,7.39,68.11,8.77
100,nabire,36,ID,1513209712,87,-3.37,135.48,74.77,0.6
101,cidreira,0,BR,1513209713,74,-30.18,-50.21,72.38,13.35
102,jawhar,0,SO,1513209713,85,2.78,45.5,68.69,5.41
103,blythe,1,US,1513205520,8,33.61,-114.6,71.6,4.7
104,mildura,80,AU,1513209714,47,-34.2,142.15,80.71,15.43
105,flin flon,90,CA,1513207380,85,54.77,-101.86,17.6,5.82
106,iquique,0,CL,1513206000,72,-20.22,-70.14,68.0,19.46
107,kodiak,40,US,1513205580,75,57.79,-152.41,42.8,9.17
108,biltine,0,TD,1513209716,35,14.53,20.92,71.93,12.12
109,camacha,40,PT,1513207800,82,33.08,-16.33,64.4,8.05
110,lebu,8,CL,1513209717,98,-37.62,-73.65,56.59,9.95
111,san cristobal,40,VE,1513206000,78,7.77,-72.22,78.8,3.36
112,tra vinh,80,VN,1513209718,100,9.93,106.35,74.27,4.03
113,mahebourg,75,MU,1513206000,88,-20.41,57.7,78.8,5.82
114,east london,92,ZA,1513209601,100,-33.02,27.91,67.07,29.19
115,coquimbo,0,CL,1513206000,77,-29.95,-71.34,64.4,6.93
116,obo,0,CF,1513209720,88,5.4,26.49,65.32,5.53
117,antofagasta,20,CL,1513206000,72,-23.65,-70.4,64.4,11.41
118,vitim,64,RU,1513209721,74,59.45,112.56,-11.59,4.36
119,kruisfontein,100,ZA,1513209721,91,-34.0,24.73,61.09,12.68
120,chimbarongo,0,CL,1513209722,71,-34.7,-71.05,56.27,0.83
121,inuvik,75,CA,1513208460,85,68.35,-133.72,10.4,5.82
122,torbay,90,CA,1513208340,100,47.67,-52.73,42.8,12.75
123,victoria,75,CA,1513206900,71,48.43,-123.37,51.8,6.93
124,lata,90,PT,1513206000,93,40.16,-8.33,55.4,5.82
125,nelson bay,0,AU,1513206000,38,-32.72,152.15,87.8,8.05
126,tara,68,RU,1513209724,78,56.89,74.37,5.24,5.53
127,lensk,48,RU,1513209724,66,60.73,114.93,-9.16,6.53
128,fethiye,0,TR,1513207200,81,36.62,29.12,50.0,8.05
129,dwarka,0,IN,1513209725,100,22.24,68.97,68.11,9.06
130,vila franca do campo,75,PT,1513207800,93,37.72,-25.43,60.8,6.76
131,hithadhoo,92,MV,1513209726,100,-0.6,73.08,81.65,8.55
132,aitape,12,PG,1513209726,99,-3.14,142.35,81.47,5.08
133,komsomolskiy,90,UZ,1513206000,69,40.43,71.72,33.8,1.79
134,belyy yar,40,RU,1513207800,92,53.6,91.39,12.2,4.47
135,kavieng,76,PG,1513209727,100,-2.57,150.8,82.1,13.31
136,muzhi,48,RU,1513209728,73,65.37,64.67,6.41,16.37
137,barrow,90,US,1513205580,77,71.29,-156.79,6.8,33.33
138,menongue,32,AO,1513209728,94,-14.66,17.69,62.17,4.52
139,hualmay,68,PE,1513209728,81,-11.1,-77.61,66.04,5.03
140,kez,92,RU,1513209729,84,57.9,53.72,24.05,22.26
141,bubaque,0,GW,1513209729,100,11.28,-15.83,78.46,2.13
142,aloleng,88,PH,1513209730,100,16.13,119.78,76.52,4.07
143,bengkulu,92,ID,1513209730,100,-3.8,102.27,73.64,11.34
144,hamilton,90,CA,1513208520,92,43.23,-79.95,19.4,8.05
145,severo-kurilsk,64,RU,1513209732,100,50.68,156.12,31.57,14.81
146,arraial do cabo,24,BR,1513209732,93,-22.97,-42.03,72.38,12.57
147,portland,40,US,1513205760,52,45.52,-122.68,50.0,9.17
148,kawalu,44,ID,1513209733,95,-7.38,108.21,69.19,2.35
149,kahului,40,US,1513205760,51,20.89,-156.47,80.6,16.11
150,labuhan,76,ID,1513209733,100,-6.88,112.21,80.3,7.31
151,caravelas,100,BR,1513209734,100,-17.71,-39.25,77.29,22.97
152,kapaa,90,US,1513205760,60,22.08,-159.32,75.2,18.34
153,tarakan,20,ID,1513209734,100,3.3,117.63,78.68,4.25
154,port alfred,92,ZA,1513209668,100,-33.59,26.89,63.47,18.39
155,moses lake,90,US,1513205580,94,47.13,-119.28,33.8,6.93
156,khatanga,20,RU,1513209735,0,71.97,102.5,-42.28,4.14
157,praia,40,CV,1513206000,64,14.92,-23.51,75.2,14.99
158,road town,1,VG,1513205580,78,18.42,-64.62,80.6,6.93
159,orsha,20,BY,1513209736,68,54.52,30.41,11.86,4.52
160,bahia honda,0,CU,1513209737,74,22.9,-83.16,67.25,4.74
161,nsoko,0,SZ,1513206000,78,-27.03,31.95,71.6,23.04
162,avesta,92,SE,1513207200,85,60.15,16.17,33.8,9.17
163,polson,64,US,1513209738,99,47.69,-114.16,21.62,1.5
164,san roque,0,ES,1513205400,87,36.21,-5.38,51.8,5.82
165,praia da vitoria,75,PT,1513206000,88,38.73,-27.07,62.6,13.69
166,bozhou,92,CN,1513209739,97,33.88,115.77,34.36,10.45
167,sysert,24,RU,1513207800,84,56.5,60.82,-0.41,4.47
168,dumbrava,76,RO,1513207800,87,44.88,26.18,42.8,1.12
169,lorengau,92,PG,1513209742,100,-2.02,147.27,80.57,11.45
170,villarrica,0,PY,1513209742,68,-25.75,-56.43,79.4,2.35
171,joshimath,68,IN,1513209743,92,30.57,79.57,6.82,1.34
172,manawar,0,IN,1513209743,84,22.23,75.08,59.51,2.35
173,malkangiri,0,IN,1513209744,94,18.35,81.9,59.51,3.4
174,pevek,88,RU,1513209745,86,69.7,170.31,17.84,24.76
175,touros,92,BR,1513209745,84,-5.2,-35.46,79.94,11.18
176,ahipara,0,NZ,1513209745,73,-35.17,173.17,70.54,16.22
177,shingu,40,JP,1513206000,65,33.73,135.98,41.0,14.99
178,namibe,0,AO,1513209500,100,-15.2,12.15,70.85,5.3
179,bolobo,88,CD,1513209746,100,-2.17,16.23,72.56,4.14
180,ler,0,SS,1513209747,86,8.3,30.14,68.42,3.91
181,grand gaube,75,MU,1513206000,88,-20.01,57.66,78.8,5.82
182,dunedin,20,NZ,1513209751,81,-45.87,170.5,59.96,6.31
183,fort-shevchenko,0,KZ,1513209751,100,44.51,50.26,28.19,18.16
184,chapais,90,CA,1513207740,70,49.78,-74.85,-2.21,12.75
185,ukiah,1,US,1513205760,27,39.15,-123.21,62.6,1.83
186,yumen,80,CN,1513209753,73,40.28,97.2,11.99,4.03
187,kalmunai,8,LK,1513209753,99,7.42,81.82,69.59,3.06
188,nanortalik,8,GL,1513209754,100,60.14,-45.24,27.52,29.42
189,gannan,48,CN,1513209755,43,47.91,123.5,-14.11,2.91
190,amuntai,100,ID,1513209755,98,-2.42,115.25,74.41,2.73
191,impfondo,48,CG,1513209755,88,1.64,18.07,74.63,3.58
192,rio grande,88,BR,1513209629,63,-32.03,-52.1,81.92,14.7
193,vanavara,48,RU,1513209756,70,60.34,102.28,-16.14,2.62
194,college,40,US,1513205880,51,64.86,-147.8,41.0,4.7
195,colares,75,PT,1513207800,100,38.8,-9.45,55.4,5.82
196,saldanha,12,ZA,1513206000,82,-33.01,17.94,60.8,1.12
197,high level,20,CA,1513206000,86,58.52,-117.14,28.4,2.24
198,wylie,1,US,1513206900,22,33.02,-96.54,73.4,11.41
199,arroyo,92,ES,1513209759,95,41.61,-4.8,45.74,12.91
200,port macquarie,0,AU,1513206000,54,-31.43,152.92,84.2,9.17
201,mount gambier,0,AU,1513209760,63,-37.83,140.77,67.25,6.26
202,pattoki,88,PK,1513209760,97,31.02,73.85,47.99,6.42
203,sydney,0,AU,1513206000,38,-33.87,151.21,89.6,17.22
204,berlevag,75,NO,1513205400,86,70.86,29.09,30.2,11.41
205,lipari,40,IT,1513205700,71,38.47,14.95,57.2,6.93
206,tawau,75,MY,1513206000,100,4.25,117.89,75.2,1.9
207,nokaneng,12,BW,1513209762,88,-19.67,22.27,69.77,4.52
208,kostomuksha,76,RU,1513209763,76,64.57,30.58,28.73,11.79
209,katsuura,20,JP,1513207800,32,35.13,140.3,41.0,17.22
210,ancud,92,CL,1513209765,98,-41.87,-73.82,55.82,11.18
211,zvishavane,24,ZW,1513209765,86,-20.33,30.07,67.97,4.81
212,humberto de campos,88,BR,1513209766,91,-2.6,-43.46,81.65,14.81
213,vao,68,NC,1513209766,100,-22.67,167.48,76.97,12.91
214,port lincoln,36,AU,1513209767,90,-34.73,135.87,64.73,10.45
215,evensk,44,RU,1513209767,100,61.95,159.23,-3.76,17.49
216,coos bay,1,US,1513205760,44,43.37,-124.22,60.8,3.36
217,santiago,0,CL,1513206000,44,-33.46,-70.65,75.2,14.99
218,igrim,80,RU,1513209768,82,63.19,64.42,15.32,10.85
219,mangai,92,CD,1513209769,100,-4.05,19.53,71.66,2.39
220,iqaluit,75,CA,1513206000,55,63.75,-68.51,10.4,4.7
221,shieli,0,KZ,1513209769,75,44.17,66.75,5.69,5.26
222,sungairaya,20,ID,1513209770,99,0.7,108.9,74.72,3.58
223,waipawa,76,NZ,1513207800,63,-41.41,175.52,66.2,18.34
224,tura,0,IN,1513209770,86,25.52,90.22,57.31,3.06
225,muisne,92,EC,1513209771,80,0.6,-80.03,77.42,8.32
226,umm kaddadah,0,SD,1513209771,50,13.6,26.69,65.54,10.67
227,byron bay,0,AU,1513206000,61,-28.65,153.62,77.0,5.82
228,ust-tsilma,92,RU,1513209771,79,65.44,52.15,31.25,11.56
229,smoky lake,0,CA,1513209772,83,54.12,-112.47,31.34,17.34
230,quatre cocos,75,MU,1513206000,88,-20.21,57.76,78.8,5.82
231,sharan,92,RU,1513209772,88,54.82,54.0,21.08,16.89
232,mandalgovi,64,MN,1513209773,76,45.76,106.27,2.09,9.66
233,norman wells,40,CA,1513206000,84,65.28,-126.83,8.6,5.82
234,namie,75,JP,1513206000,59,37.48,141.0,33.8,14.99
235,kieta,64,PG,1513209774,86,-6.22,155.63,86.11,7.09
236,pucallpa,40,PE,1513206000,66,-8.38,-74.55,87.8,2.24
237,vardo,75,NO,1513205400,92,70.37,31.11,26.6,14.99
238,goderich,92,CA,1513209774,100,43.75,-81.72,20.32,3.36
239,naze,75,JP,1513206000,58,28.37,129.48,57.2,18.34
240,madras,90,US,1513209360,92,44.63,-121.13,23.0,3.36
241,oktyabrskoye,56,RU,1513209776,86,43.06,44.74,28.69,1.61
242,tiguion,68,PH,1513209776,100,13.33,121.86,79.99,24.72
243,ketchikan,90,US,1513208220,76,55.34,-131.65,50.0,9.17
244,coihaique,64,CL,1513209777,87,-45.58,-72.07,52.13,7.38
245,bambous virieux,75,MU,1513206000,88,-20.34,57.76,78.8,5.82
246,beyneu,0,KZ,1513209777,85,45.32,55.2,11.63,6.82
247,bud,90,US,1513208100,93,39.45,-86.18,46.4,17.22
248,wajima,75,JP,1513206000,86,37.4,136.9,33.8,4.7
249,sao filipe,68,CV,1513209779,99,14.9,-24.5,74.36,17.11
250,santa marta,40,CO,1513206000,62,11.24,-74.2,86.0,6.93
251,diamantino,68,BR,1513209779,90,-14.41,-56.45,76.88,2.39
252,suntar,56,RU,1513209780,69,62.14,117.63,-15.42,4.29
253,ust-nera,48,RU,1513209780,74,64.57,143.2,-26.8,1.83
254,aguimes,40,ES,1513207800,63,27.91,-15.45,64.4,19.46
